date,temperature,rainfall,humidity
2025-02-15,27.175278509216117,0.08083791160926884,82.78453007899533
2025-02-16,27.58994118839992,0.004582171893147503,77.34867673899817
2025-02-17,27.256623812185577,0.06801119985925404,80.37723969713907
2025-02-18,26.863048675041963,0.00013094458663174811,82.4572961700829
2025-02-19,27.488234699038948,0.0,77.61743045017704
2025-02-20,27.991856725869493,0.0002962592636160453,76.65206550239945
2025-02-22,27.465474854885127,0.04153774464119293,80.12743768596654
2025-02-23,26.6223608038782,0.05674684941053488,86.24910810938015
2025-02-24,27.802757482913034,0.00024415901429733814,80.23666745227433
2025-02-25,27.133330139414554,0.024508495286861397,82.55138216835145
2025-02-26,27.588578905787084,0.0022737489025460938,81.63240173809993
2025-02-27,28.08393000330173,0.00011681590882660776,77.16053959718882
2025-02-28,28.078519586637828,0.00015187803025877683,79.33636145157413
2025-03-01,28.20008929410659,0.002465938788547535,77.78174170504747
2025-03-02,27.808239293639925,0.001626110691677798,77.56356768497098
2025-03-03,28.005655441400304,0.0013342624854819976,75.95692066210044
